字段,值
时间戳,2026-06-12T13:12:59.365206
图像名称,img29.jpg
置信度阈值,0.3
推理耗时(ms),100.8
缺陷总数,1

类别,置信度,X1,Y1,X2,Y2
no_electricity,0.919,1,4,150,594
